525 ads to version (of 527 total, 2 skipped)
  [79/525] 1405175151533701 (Jiva Ayurveda) -> ['NEEDS_EDIT', 'PASS', 'PASS']
  [80/525] 3017701808418521 (Vahdam) -> ['PASS', 'PASS', 'PASS']
    -- flushed 20 to Supabase --
  [81/525] 912382158123292 (Vahdam) -> ['FAIL', 'FAIL', 'FAIL']
  [82/525] 2516307262170449 (Vahdam) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [83/525] 1589437622649822 (OZiva) -> ['FAIL', 'PASS', 'FAIL']
  [84/525] 1063750449951545 (OZiva) -> ['FAIL', 'FAIL', 'NEEDS_EDIT']
  [85/525] 1766956560978188 (Jiva Ayurveda) -> ['NEEDS_EDIT', 'FAIL', 'PASS']
  [86/525] 1589128492619890 (Jiva Ayurveda) -> ['PASS', 'FAIL', 'PASS']
  [87/525] 1990263628215523 (Jiva Ayurveda) -> ['PASS', 'PASS', 'FAIL']
  [88/525] 1066494789708307 (Jiva Ayurveda) -> ['FAIL', 'FAIL', 'FAIL']
  [89/525] 1945532669436490 (Kapiva) -> ['PASS', 'FAIL', 'PASS']
  [90/525] 946008901856865 (Zandu) -> ['NEEDS_EDIT', 'FAIL', 'PASS']
  [91/525] 1381293000051692 (Zandu) -> ['PASS', 'FAIL', 'PASS']
  [92/525] 1373665448223117 (Jiva Ayurveda) -> ['FAIL', 'FAIL', 'FAIL']
  [93/525] 2136405794426522 (Zandu) -> ['NEEDS_EDIT', 'PASS', 'FAIL']
  [94/525] 2586804331771144 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [95/525] 1389765254212310 (wellbeingnutrition) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [96/525] 1760547274988675 (wellbeingnutrition) -> ['PASS', 'FAIL', 'FAIL']
  [97/525] 1049133567898543 (wellbeingnutrition) -> ['PASS', 'PASS', 'FAIL']
  [98/525] 1799602354790569 (wellbeingnutrition) -> ['NEEDS_EDIT', 'PASS', 'FAIL']
  [99/525] 1739717237359060 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [100/525] 1395312572808163 (wellbeingnutrition) -> ['PASS', 'PASS', 'FAIL']
    -- flushed 20 to Supabase --
  [101/525] 1109798028398723 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'PASS']
  [102/525] 1942684669736536 (wellbeingnutrition) -> ['PASS', 'PASS', 'FAIL']
  [103/525] 1068956658845958 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [104/525] 1436225388401160 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [105/525] 1396111882492873 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [106/525] 1406240281603705 (wellbeingnutrition) -> ['PASS', 'PASS', 'FAIL']
  [107/525] 1758569978688815 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [108/525] 3203602446505438 (wellbeingnutrition) -> ['PASS', 'PASS', 'FAIL']
  [109/525] 1116680967364258 (wellbeingnutrition) -> ['NEEDS_EDIT', 'PASS', 'FAIL']
  [110/525] 1389963079283865 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [111/525] 4064415283694355 (wellbeingnutrition) -> ['PASS', 'PASS', 'FAIL']
  [112/525] 1076903881985886 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [113/525] 2002715640447746 (wellbeingnutrition) -> ['PASS', 'PASS', 'FAIL']
  [114/525] 4165724873717447 (wellbeingnutrition) -> ['FAIL', 'PASS', 'PASS']
  [115/525] 1078126617931400 (wellbeingnutrition) -> ['PASS', 'PASS', 'FAIL']
  [116/525] 1383807546711724 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'PASS']
  [117/525] 1399731918799719 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [118/525] 1350057940446360 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'PASS']
  [119/525] 2289205838483090 (wellbeingnutrition) -> ['FAIL', 'PASS', 'FAIL']
  [120/525] 1406336184985911 (wellbeingnutrition) -> ['NEEDS_EDIT', 'PASS', 'FAIL']
    -- flushed 20 to Supabase --
  [121/525] 1702261704189679 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [122/525] 2855786578131301 (wellbeingnutrition) -> ['NEEDS_EDIT', 'PASS', 'PASS']
  [123/525] 4160390234104537 (wellbeingnutrition) -> ['PASS', 'FAIL', 'FAIL']
  [124/525] 2085439429032354 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [125/525] 1400778148856481 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [126/525] 3633561970153326 (wellbeingnutrition) -> ['NEEDS_EDIT', 'FAIL', 'PASS']
  [127/525] 3350082495163707 (wellbeingnutrition) -> ['FAIL', 'PASS', 'PASS']
  [128/525] 1318184786911560 (wellbeingnutrition) -> ['PASS', 'FAIL', 'FAIL']
  [129/525] 850754688031661 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [130/525] 1331476112171356 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [131/525] 2640943946365370 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [132/525] 1114904741182820 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'PASS']
  [133/525] 4637535066572275 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [134/525] 862261326970309 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'FAIL']
  [135/525] 1048044071380604 (wellbeingnutrition) -> ['FAIL', 'PASS', 'FAIL']
  [136/525] 2116075968979741 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'PASS']
  [137/525] 1061517066583127 (wellbeingnutrition) -> ['FAIL', 'PASS', 'FAIL']
  [138/525] 2239199270393290 (wellbeingnutrition) -> ['PASS', 'FAIL', 'FAIL']
  [139/525] 1572914081199246 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [140/525] 1765879507888793 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
    -- flushed 20 to Supabase --
  [141/525] 2172509916956713 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [142/525] 1104797502073729 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [143/525] 1345530767362582 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'FAIL']
  [144/525] 1964140890926448 (wellbeingnutrition) -> ['FAIL', 'PASS', 'PASS']
  [145/525] 1517533643467286 (wellbeingnutrition) -> ['PASS', 'FAIL', 'FAIL']
  [146/525] 1743482863593621 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [147/525] 1029904789860082 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [148/525] 2336447240426328 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [149/525] 1384903057188549 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [150/525] 1088528783673883 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [151/525] 1059612646674156 (wellbeingnutrition) -> ['FAIL', 'PASS', 'PASS']
  [152/525] 955519110900820 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [153/525] 1621599192737988 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [154/525] 1109832148081982 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [155/525] 2463420710735638 (wellbeingnutrition) -> ['NEEDS_EDIT', 'PASS', 'PASS']
  [156/525] 1582709350189747 (wellbeingnutrition) -> ['PASS', 'FAIL', 'FAIL']
  [157/525] 1069758292367463 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'FAIL']
  [158/525] 2141634066440039 (wellbeingnutrition) -> ['PASS', 'PASS', 'FAIL']
  [159/525] 1579452923848148 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'PASS']
  [160/525] 1620185886478715 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'PASS']
    -- flushed 20 to Supabase --
  [161/525] 1072565522170827 (wellbeingnutrition) -> ['PASS', 'PASS', 'FAIL']
  [162/525] 1622405029493814 (wellbeingnutrition) -> ['PASS', 'FAIL', 'FAIL']
  [163/525] 1055207210686030 (wellbeingnutrition) -> ['FAIL', 'PASS', 'PASS']
  [164/525] 1081474761522116 (wellbeingnutrition) -> ['NEEDS_EDIT', 'PASS', 'FAIL']
  [165/525] 1764325008047282 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'PASS']
  [166/525] 1098402756475017 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [167/525] 2147817689475678 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [168/525] 1908799943432931 (wellbeingnutrition) -> ['NEEDS_EDIT', 'PASS', 'PASS']
  [169/525] 1366350712322595 (wellbeingnutrition) -> ['NEEDS_EDIT', 'PASS', 'PASS']
  [170/525] 3465085796984280 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'PASS']
  [171/525] 1993546231349100 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [172/525] 1120801943948157 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [173/525] 1418942830146713 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [174/525] 4630968290467104 (wellbeingnutrition) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [175/525] 1597330731799482 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [176/525] 1699761707753588 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [177/525] 1112449471301029 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'FAIL']
  [178/525] 1086621620439048 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [179/525] 937918882086582 (wellbeingnutrition) -> ['PASS', 'FAIL', 'FAIL']
  [180/525] 1086049927404873 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'PASS']
    -- flushed 20 to Supabase --
  [181/525] 1386970443597645 (wellbeingnutrition) -> ['FAIL', 'PASS', 'FAIL']
  [182/525] 4541210302816051 (wellbeingnutrition) -> ['FAIL', 'PASS', 'PASS']
  [183/525] 1084907640690832 (wellbeingnutrition) -> ['PASS', 'FAIL', 'FAIL']
  [184/525] 1622782232562837 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [185/525] 1078729958232125 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [186/525] 1465286718763152 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [187/525] 1128440422941431 (wellbeingnutrition) -> ['PASS', 'FAIL', 'FAIL']
  [188/525] 1058437836991953 (wellbeingnutrition) -> ['PASS', 'PASS', 'FAIL']
  [189/525] 1802174624478940 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [190/525] 1383401476670667 (wellbeingnutrition) -> ['PASS', 'FAIL', 'FAIL']
  [191/525] 1831872418224753 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'PASS']
  [192/525] 1062533566384365 (wellbeingnutrition) -> ['NEEDS_EDIT', 'PASS', 'PASS']
  [193/525] 2583876885362330 (Jiva Ayurveda) -> ['PASS', 'FAIL', 'FAIL']
  [194/525] 3134519580080601 (Jiva Ayurveda) -> ['FAIL', 'NEEDS_EDIT', 'PASS']
  [195/525] 1252351660301399 (Jiva Ayurveda) -> ['NEEDS_EDIT', 'PASS', 'FAIL']
  [196/525] 2048370705802861 (Jiva Ayurveda) -> ['PASS', 'FAIL', 'FAIL']
  [197/525] 1373226298304755 (Jiva Ayurveda) -> ['FAIL', 'PASS', 'PASS']
  [198/525] 1625686055838670 (Jiva Ayurveda) -> ['FAIL', 'FAIL', 'PASS']
  [199/525] 1043649115231134 (Jiva Ayurveda) -> ['FAIL', 'FAIL', 'FAIL']
  [200/525] 1775575936818172 (Jiva Ayurveda) -> ['FAIL', 'FAIL', 'PASS']
    -- flushed 20 to Supabase --
  [201/525] 1403461755044859 (Jiva Ayurveda) -> ['FAIL', 'FAIL', 'FAIL']
  [202/525] 1933055187652304 (Jiva Ayurveda) -> ['PASS', 'FAIL', 'FAIL']
  [203/525] 1788981209185889 (Jiva Ayurveda) -> ['FAIL', 'FAIL', 'PASS']
  [204/525] 1487240336752621 (Jiva Ayurveda) -> ['PASS', 'FAIL', 'PASS']
  [205/525] 1735290267593973 (Jiva Ayurveda) -> ['PASS', 'PASS', 'PASS']
  [206/525] 1052047367854456 (Jiva Ayurveda) -> ['FAIL', 'FAIL', 'FAIL']
  [207/525] 1538838940726316 (Jiva Ayurveda) -> ['NEEDS_EDIT', 'FAIL', 'PASS']
  [208/525] 413577233688084 (Zandu) -> ['PASS', 'PASS', 'PASS']
  [209/525] 806011613495552 (Zandu) -> ['PASS', 'PASS', 'FAIL']
  [210/525] 2587371308360598 (Himalaya Wellness) -> ['PASS', 'FAIL', 'PASS']
  [211/525] 1070038582070329 (Himalaya Wellness) -> ['PASS', 'FAIL', 'PASS']
  [212/525] 3625564614258155 (Himalaya Wellness) -> ['PASS', 'FAIL', 'PASS']
  [213/525] 1481305689964357 (Himalaya Wellness) -> ['PASS', 'FAIL', 'FAIL']
  [214/525] 28484607014497542 (Himalaya Wellness) -> ['FAIL', 'PASS', 'PASS']
  [215/525] 1726213541943064 (Himalaya Wellness) -> ['FAIL', 'PASS', 'PASS']
  [216/525] 1043732554963474 (Himalaya Wellness) -> ['PASS', 'FAIL', 'FAIL']
  [217/525] 1083297420839959 (Himalaya Wellness) -> ['PASS', 'PASS', 'FAIL']
  [218/525] 1036731829387490 (Himalaya Wellness) -> ['PASS', 'PASS', 'FAIL']
  [219/525] 2922020868134725 (Himalaya Wellness) -> ['PASS', 'FAIL', 'FAIL']
  [220/525] 1257920503106484 (Himalaya Wellness) -> ['FAIL', 'PASS', 'PASS']
    -- flushed 20 to Supabase --
  [221/525] 1605936247638624 (Himalaya Wellness) -> ['PASS', 'PASS', 'PASS']
  [222/525] 1097822292802621 (Himalaya Wellness) -> ['FAIL', 'PASS', 'FAIL']
  [223/525] 1753959059086110 (Himalaya Wellness) -> ['PASS', 'FAIL', 'FAIL']
  [224/525] 2684372025281616 (Kapiva) -> ['PASS', 'FAIL', 'FAIL']
  [225/525] 960641683516156 (Kapiva) -> ['FAIL', 'FAIL', 'PASS']
  [226/525] 27063142253374873 (Kapiva) -> ['PASS', 'PASS', 'FAIL']
  [227/525] 972006268918337 (Kapiva) -> ['FAIL', 'FAIL', 'FAIL']
  [228/525] 1535550454850554 (Kapiva) -> ['PASS', 'FAIL', 'PASS']
  [229/525] 1078212861269885 (Kapiva) -> ['FAIL', 'PASS', 'FAIL']
  [230/525] 2480534222413193 (Kapiva) -> ['PASS', 'FAIL', 'FAIL']
  [231/525] 2580771995761011 (Kapiva) -> ['PASS', 'FAIL', 'PASS']
  [232/525] 1787010105628276 (Kapiva) -> ['FAIL', 'FAIL', 'FAIL']
  [233/525] 1383385397193712 (Zandu) -> ['NEEDS_EDIT', 'FAIL', 'PASS']
  [234/525] 2105728930357882 (Zandu) -> ['PASS', 'FAIL', 'FAIL']
  [235/525] 1557382579472149 (Zandu) -> ['PASS', 'FAIL', 'PASS']
  [236/525] 1032616439617144 (Zandu) -> ['PASS', 'PASS', 'FAIL']
  [237/525] 28591224133814647 (Zandu) -> ['FAIL', 'FAIL', 'PASS']
  [238/525] 1523753826222570 (Organic India) -> ['PASS', 'PASS', 'FAIL']
  [239/525] 2113662226695777 (Organic India) -> ['PASS', 'PASS', 'PASS']
  [240/525] 1628431242313349 (Organic India) -> ['PASS', 'PASS', 'PASS']
    -- flushed 20 to Supabase --
  [241/525] 1376673317771369 (Organic India) -> ['FAIL', 'FAIL', 'PASS']
  [242/525] 1868174874154442 (Zandu) -> ['PASS', 'PASS', 'PASS']
  [243/525] 1753553865685130 (Blue Tea) -> ['FAIL', 'FAIL', 'PASS']
  [244/525] 2141754463363447 (Organic India) -> ['PASS', 'PASS', 'FAIL']
  [245/525] 1718379266102929 (Organic India) -> ['PASS', 'FAIL', 'FAIL']
  [246/525] 1612923433712255 (Organic India) -> ['PASS', 'PASS', 'PASS']
  [247/525] 1088146627296923 (Vahdam) -> ['NEEDS_EDIT', 'PASS', 'FAIL']
  [248/525] 1439680554652645 (Vahdam) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [249/525] 1582162079981812 (Vahdam) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [250/525] 1043883965156786 (Vahdam) -> ['PASS', 'PASS', 'PASS']
  [251/525] 1095827973098324 (Vahdam) -> ['FAIL', 'FAIL', 'FAIL']
  [252/525] 3994613430840494 (Vahdam) -> ['PASS', 'FAIL', 'FAIL']
  [253/525] 1842135373444408 (Kapiva) -> ['PASS', 'FAIL', 'PASS']
  [254/525] 908708965227586 (Vahdam) -> ['PASS', 'PASS', 'PASS']
  [255/525] 2104410746779174 (Vahdam) -> ['PASS', 'FAIL', 'PASS']
  [256/525] 866171363246797 (Vahdam) -> ['PASS', 'FAIL', 'FAIL']
  [257/525] 4477870119154858 (Vahdam) -> ['FAIL', 'FAIL', 'FAIL']
  [258/525] 1684415423684868 (Vahdam) -> ['PASS', 'NEEDS_EDIT', 'FAIL']
  [259/525] 2221694615352590 (Vahdam) -> ['FAIL', 'FAIL', 'FAIL']
  [260/525] 2994456694249761 (Vahdam) -> ['PASS', 'FAIL', 'PASS']
    -- flushed 20 to Supabase --
  [261/525] 1711779966565651 (Vahdam) -> ['NEEDS_EDIT', 'PASS', 'FAIL']
  [262/525] 1882266839405147 (Vahdam) -> ['NEEDS_EDIT', 'NEEDS_EDIT', 'PASS']
  [263/525] 1599121321869754 (Vahdam) -> ['PASS', 'PASS', 'PASS']
  [264/525] 1098603219259585 (Vahdam) -> ['PASS', 'PASS', 'FAIL']
  [265/525] 1749066732996250 (Vahdam) -> ['PASS', 'FAIL', 'PASS']
  [266/525] 1098019779544690 (Vahdam) -> ['PASS', 'PASS', 'FAIL']
  [267/525] 3538016806360992 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [268/525] 1742843630259732 (Vahdam) -> ['PASS', 'PASS', 'FAIL']
  [269/525] 851955644578984 (Vahdam) -> ['NEEDS_EDIT', 'PASS', 'PASS']
  [270/525] 3145012162368642 (wellbeingnutrition) -> ['PASS', 'NEEDS_EDIT', 'PASS']
  [271/525] 1621840282847423 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [272/525] 1702700877495008 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [273/525] 1078563351485515 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [274/525] 953286037109611 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'FAIL']
  [275/525] 2118944859022007 (wellbeingnutrition) -> ['PASS', 'FAIL', 'FAIL']
  [276/525] 1423368292974453 (Zandu) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [277/525] 1773442323692328 (Zandu) -> ['PASS', 'FAIL', 'FAIL']
  [278/525] 1593031249027368 (Zandu) -> ['FAIL', 'FAIL', 'FAIL']
  [279/525] 852195657882510 (Zandu) -> ['PASS', 'FAIL', 'FAIL']
  [280/525] 26136209129410134 (Zandu) -> ['FAIL', 'PASS', 'PASS']
    -- flushed 20 to Supabase --
  [281/525] 1592726488926590 (Vahdam) -> ['FAIL', 'PASS', 'PASS']
  [282/525] 1656286092726398 (Vahdam) -> ['NEEDS_EDIT', 'FAIL', 'PASS']
  [283/525] 1107330211732109 (OZiva) -> ['PASS', 'PASS', 'PASS']
  [284/525] 1162711976532908 (wellbeingnutrition) -> ['PASS', 'PASS', 'PASS']
  [285/525] 2121243088468373 (wellbeingnutrition) -> ['FAIL', 'FAIL', 'PASS']
  [286/525] 1382444744001268 (wellbeingnutrition) -> ['FAIL', 'PASS', 'PASS']
  [287/525] 1076378888138895 (wellbeingnutrition) -> ['PASS', 'PASS', 'FAIL']
  [288/525] 2353992435338263 (wellbeingnutrition) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [289/525] 1660336849000422 (wellbeingnutrition) -> ['PASS', 'PASS', 'FAIL']
  [290/525] 2119267978688770 (Kapiva) -> ['PASS', 'FAIL', 'NEEDS_EDIT']
  [291/525] 1802073677489010 (wellbeingnutrition) -> ['NEEDS_EDIT', 'FAIL', 'FAIL']
  [292/525] 1086417507097517 (wellbeingnutrition) -> ['NEEDS_EDIT', 'PASS', 'PASS']
  [293/525] 1054890360655225 (wellbeingnutrition) -> ['PASS', 'FAIL', 'PASS']
  [294/525] 1055213677316113 (Zandu) -> ['PASS', 'FAIL', 'PASS']
  [295/525] 2177029329547466 (Zandu) -> ['FAIL', 'PASS', 'FAIL']
  [296/525] 2372013516877139 (Zandu) -> ['FAIL', 'PASS', 'FAIL']
  [297/525] 1082819001007780 (Zandu) -> ['PASS', 'PASS', 'PASS']
  [298/525] 1391908116466243 (Zandu) -> ['FAIL', 'PASS', 'FAIL']
  [299/525] 1756494256480610 (Zandu) -> ['PASS', 'FAIL', 'PASS']
